,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
839,2014,4,UA,United Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",4688.0,775.0,231.84,0.0,208.02,16.0,12.0,1224.0,10780.0,0.0,12376.0
841,2014,4,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",3691.0,857.0,112.19,0.0,185.38,25.0,6.0,869.0,29310.0,0.0,12639.0
842,2014,4,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",3259.0,416.0,143.68,0.0,131.84,14.0,0.0,489.0,4842.0,0.0,8816.0
844,2014,4,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4454.0,815.0,197.98,0.0,184.55,24.0,18.0,757.0,17036.0,0.0,12718.0
845,2014,4,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",875.0,133.0,52.9,0.0,40.48,3.0,1.0,52.0,1110.0,0.0,2329.0
851,2014,4,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2552.0,486.0,162.52,0.0,132.46,7.0,8.0,557.0,6492.0,0.0,8375.0
863,2014,4,UA,United Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1030.0,180.0,64.71,0.0,76.93,2.0,2.0,87.0,1138.0,0.0,4864.0
864,2014,4,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",400.0,66.0,17.17,0.0,15.05,1.0,2.0,25.0,2335.0,0.0,982.0
867,2014,4,UA,United Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1058.0,192.0,81.48,0.0,42.58,3.0,6.0,522.0,2441.0,0.0,3094.0
868,2014,4,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",116.0,31.0,7.84,0.0,10.7,0.0,0.0,0.0,608.0,0.0,719.0
879,2014,4,UA,United Air Lines Inc.,MIA,"Miami, FL: Miami International",315.0,63.0,22.67,0.0,13.25,0.0,0.0,134.0,1109.0,0.0,1138.0
882,2014,4,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",63.0,14.0,4.52,0.0,6.39,0.0,0.0,54.0,73.0,0.0,280.0
886,2014,4,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",465.0,79.0,33.8,0.0,26.97,1.0,0.0,81.0,632.0,0.0,2151.0
912,2014,4,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",26.0,4.0,1.58,0.0,0.03,0.0,0.0,0.0,82.0,0.0,1.0
921,2014,4,US,US Airways Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4698.0,479.0,167.27,0.86,95.15,44.0,5.0,281.0,5756.0,23.0,5515.0
922,2014,4,US,US Airways Inc.,DEN,"Denver, CO: Denver International",367.0,48.0,21.7,1.0,13.94,2.0,0.0,0.0,374.0,47.0,826.0
923,2014,4,US,US Airways Inc.,LAX,"Los Angeles, CA: Los Angeles International",524.0,88.0,29.49,3.52,10.74,2.0,0.0,3.0,1523.0,96.0,558.0
924,2014,4,US,US Airways Inc.,SFO,"San Francisco, CA: San Francisco International",453.0,107.0,36.12,1.31,19.39,2.0,2.0,365.0,2486.0,31.0,1216.0
